Id,Comfort,Floor,FurnishedAndFit,LivingSurface,Neighborhood,NumberOfBathrooms,NumberOfParkingSpaces,NumberOfRooms,Partitioning,PossibilityOfParking,Price,PropertyStatus,PropertyType,TotalNumberOfFloors,YearBuilt
C7715C3A-55E4-4D6F-B78B-02989EEC8E6E,2,1,Parial,60,Tudor Vladimirescu,1,0,3,Semidecomandat,False,70000,Bun,Bloc de apartamente,3,1972
4288D78C-ADDB-443A-9DA1-029DC773A14C,-,1,-,71,Cug,0,0,3,Decomandat,False,55000,-,-,0,2017
F1C1EC4A-2ED5-4349-BA90-02ADAA7B80F0,-,0,-,156,Bucium,0,0,5,-,False,130000,-,-,0,2010
A4103DD2-5437-4F09-A59D-02B6A706D748,-,0,Nemobilat,85,Cug,2,2,4,-,True,75000,Nou,-,2,2017
3B7D5EA8-F521-4845-92C2-02BB6E3CF1B0,-,8,-,67,Pacurari,0,0,3,Decomandat,False,55000,-,-,0,1984
FD8E4546-F742-486A-BB6F-02D2468A9FFD,-,3,-,70,Oancea,0,0,3,Semidecomandat,False,68000,-,-,0,2015
A4E7E302-61A9-4E56-93FD-02D373B517BE,-,1,-,49,Copou,0,0,2,Semidecomandat,False,55051,-,-,0,2018
B3F9F215-1E8A-44F5-B0E8-02D4D5BAE528,-,4,-,42,Tudor Vladimirescu,0,0,2,Semidecomandat,False,40000,-,-,0,1980
5418C2A2-99CA-438E-91D2-02D5D8F4A253,-,1,-,51,Pacurari,0,0,2,Decomandat,False,48000,-,-,0,2018
F183BFEB-4DE1-48AC-BA3A-02E6AF49A699,-,2,-,52,Cug,0,0,2,Decomandat,False,47900,-,-,0,2017
1D11B0A5-0893-4DDC-815A-02E75C8CB40E,-,1,Complet,42,Tatarasi,0,0,2,Semidecomandat,False,58000,Nou,Bloc de apartamente,4,2017
725893CA-B754-481F-B85F-02EEDD81AAE6,-,2,-,42,Cug,0,0,2,Decomandat,False,47725,-,-,0,2018
ECDAAB24-7406-4990-B887-02F935580693,2,4,-,45,Podu Ros,1,0,3,Semidecomandat,False,50000,Bun,Bloc de apartamente,4,1964
0B7C69D2-24AE-4B70-9C0D-03090C998138,-,2,-,40,Centru Civic,0,0,2,Decomandat,False,54000,-,-,0,2016
CF77BADA-C51F-445B-9911-030FAEC79F29,-,4,-,55,Alexandru cel Bun,0,0,3,Semidecomandat,False,44900,-,-,0,1976
E995BE20-20D3-46BA-B702-0313E1E05B91,-,8,Complet,83,Nicolina,0,0,3,Decomandat,False,87500,Renovat,Bloc de apartamente,8,1987
CB5DA88E-1D35-4E48-9A01-0317DF11CFA1,1,4,-,67,Tatarasi,2,0,3,Decomandat,False,63000,Bun,Bloc de apartamente,5,1982
5B5A3547-59BE-44B8-AD94-0317FA4422C3,-,0,-,80,Cug,0,0,3,-,False,63000,-,-,0,2017
95338B45-FFDC-4A9F-BF5C-03252EC63654,-,9,-,85,Alexandru cel Bun,0,0,3,Decomandat,False,66500,Bun,Bloc de apartamente,10,1978
B56BB632-F5A5-4849-905D-0325FB96E600,-,4,-,61,Galata,0,0,2,Decomandat,False,50500,-,-,0,1982
4647E5A1-DE48-4446-80BE-03316CAAD83F,-,3,-,52,Galata,0,0,2,Decomandat,False,52200,-,-,0,2017
A33666AA-0C73-40C6-AE08-0334C1F638FE,-,0,-,180,Bucium,0,0,5,-,False,160000,-,-,0,2008
9E495DCE-9F78-400D-97B3-033E711D7E21,-,1,-,80,Gara,0,0,3,Decomandat,False,80000,Renovat,Bloc de apartamente,8,1981
5039D650-307F-481B-B066-0349509094B1,1,1,-,35,Nicolina,0,0,1,Decomandat,False,38000,Renovat,Bloc de apartamente,0,1978
859D07BD-E146-4498-B031-03496CF1F71A,-,2,-,72,Valea Adanca,0,0,2,Decomandat,False,50990,-,-,0,2018
41689D89-F370-4495-A4EF-035583EF7D9F,-,1,-,47,Centru Civic,0,0,2,Decomandat,False,39000,-,-,0,2016
164BC863-C649-477B-BA05-036273270471,-,1,-,57,Pacurari,0,0,2,Decomandat,False,45500,-,-,0,2017
04A9410A-E7BA-4BA8-8452-0372907AE11A,-,4,-,50,Nicolina,0,0,2,Decomandat,False,48000,-,-,0,1982
BA3899C9-38D8-4DAF-B4EF-0395059728F9,1,4,-,64,Podu Ros,0,0,3,Semidecomandat,False,55000,Bun,Bloc de apartamente,0,1962
4F91425A-C28F-471E-A77E-039AEE0F9105,-,2,-,50,Tatarasi,0,0,2,Decomandat,False,44000,-,-,0,1972
065AD285-ADA5-45BF-A11D-03A144B2F2B7,-,4,-,17,Nicolina,0,0,0,-,False,13900,-,-,0,1979
E4F6CF58-EF42-4018-8B8B-03ABE51F26C9,-,1,-,94,Canta,0,0,3,Decomandat,False,80850,-,-,0,2016
07881E1A-B965-4B0F-8E3B-03AC9DA0FB9D,-,1,-,94,Canta,0,0,3,Decomandat,False,80850,-,-,0,2016
7AF2CA9D-DC20-49A3-882F-03D73A420006,-,1,-,42,Nicolina,0,0,2,Decomandat,False,52068,-,-,0,2017
79A95095-1DDF-4EEC-BF1C-03DD39BC8C98,1,4,-,62,Nicolina,0,0,3,Decomandat,False,61500,Bun,Bloc de apartamente,0,1980
FCC5F5AE-7403-41A7-AB1A-03E00739161A,-,0,-,0,Copou,0,0,0,-,False,320000,-,-,0,0
A5026561-FD12-463B-AD2B-04020AA16F34,1,7,-,82,Cug,0,0,3,Decomandat,False,80000,Bun,Bloc de apartamente,0,1977
19A8308A-988B-432E-AE90-0408BB273A0A,-,0,-,140,Bucium,0,0,4,-,False,82000,-,-,0,2017
69CED62F-50F2-4750-B18F-04164559F9CD,-,0,-,160,Nord,0,0,5,-,False,85000,-,-,0,2000
12BA772D-D9C3-4A97-9EA6-0428ECD54C49,-,2,-,42,Cug,0,0,2,Decomandat,False,47725,-,-,0,2018
FFF4E923-72E2-430B-B59D-0429DD144129,-,4,-,49,Tatarasi,0,0,2,Decomandat,False,60000,-,-,0,2017
61DE3E89-58F3-43F0-9C9D-042AC9DA5ED0,Lux,1,-,36,Tatarasi,0,0,1,Decomandat,False,42120,Nou,Bloc de apartamente,0,2018
2CDE83C7-78C6-4B2A-BE09-042CCEF5C627,-,1,-,27,Frumoasa,0,0,0,-,False,26500,-,-,0,2016
ED5EADE7-6C6B-4C70-AE5A-0432C9A449F7,-,3,-,46,Pacurari,0,0,1,Decomandat,False,31000,-,-,0,2017
5E992AED-7C6D-4B3E-9AA7-043389FA8942,-,0,-,0,Valea Adanca,0,0,0,-,False,225000,-,-,0,0
CCD0D730-D5F1-4345-9EA7-04492232F6F6,-,3,-,62,Nicolina,0,0,2,Decomandat,False,54000,-,-,0,2012
8E6F2009-7AF9-4F1D-9050-0456A88E2C36,-,1,Nemobilat,43,Copou,0,0,2,Decomandat,False,60000,Nou,Bloc de apartamente,6,2018
3B56F75A-A96F-4ABA-801C-0463DDC6716C,-,3,-,44,Tudor Vladimirescu,0,0,1,Decomandat,False,46760,-,-,0,2016
1B24247F-5714-4C23-94A0-046543EA5C2D,-,8,-,47,Podu Ros,0,0,2,Semidecomandat,False,40000,-,-,0,1972
81D525E1-E7E6-476B-8273-046CC9C36104,1,4,-,52,Nicolina,1,0,2,Decomandat,False,47500,Bun,Bloc de apartamente,4,1986
7FE228D0-8433-4667-9725-047369AB7F53,1,4,Nemobilat,54,Nicolina,1,0,2,Decomandat,True,48000,Bun,Bloc de apartamente,4,1989
28850FAE-4EB6-4328-9947-047881B2B8AB,-,0,-,64,Aeroport,0,0,2,-,False,120000,-,-,0,2014
5322B112-9731-468A-8B64-047B078058F4,Lux,3,-,42,Pacurari,0,0,2,Semidecomandat,False,50000,Nou,Bloc de apartamente,0,2018
2E736D55-2527-4445-9B75-048A2B2E4A82,-,3,-,31,Cug,0,0,1,Decomandat,False,27900,-,-,0,2018
13A92D56-12EB-4E80-A6CD-049EF0CD1D4A,Lux,1,Complet,60,Copou,2,0,2,Decomandat,True,77500,Renovat,Bloc de apartamente,3,1960
7F631AB8-A754-4C63-8C40-04A2E8E3AB5B,-,3,-,47,Podu Ros,0,0,2,Semidecomandat,False,44900,Bun,Bloc de apartamente,3,1964
